Tweet User,Location,Following,Followers,Total Tweets,Tweet,Time of Tweet,Account Created
tonetalks,"Los Angeles, CA",676,28120,20667,They don’t want us to know the power of our voice and boycott. But this movie is struggling to break even. 9/26 they did $250 a SCREEN. That's like $50 a showing. In my view womanking  isn’t on pace to break even. They only got so much longer on 3700 screens. boycottwomanking ,2022-09-29 05:31:18+00:00,2015-10-08 01:47:41+00:00
jaimeriveraaaaa,manic episodes ,321,177,2295, will forever go unmatched in her talent ! She is the moment !  WomanKing,2022-09-29 05:10:22+00:00,2018-06-30 16:57:10+00:00
nicki_D_,just a moment...,1564,7626,90285,Hamba wena ma Mbatha!!! 🎉🎉🎉🎉 You look gorgeous and congratulations on being a part of a masterpiece that is WomanKing ,2022-09-29 05:04:22+00:00,2012-02-21 11:04:52+00:00
RubenRevelesJr,"Yuma, AZ",127,15,1130,"Like I said before. The internet goofs constantly piss and moan because there aren't any movies staring women of color, but when there is one, they don't support it. WomanKing ",2022-09-29 04:58:56+00:00,2022-03-01 21:46:16+00:00
JoJoNae,"Kingston, Jamaica  ",388,676,90024,I fell in love with Izogie okay? 🥺 WomanKing,2022-09-29 04:58:18+00:00,2009-03-25 19:49:42+00:00
WestgateMallKe,"Nairobi, Kenya",449,8746,4989,"It's finally here!We fight not just for today, but for the future. TheWomanKing exclusively showing TODAY at WestgateCinemaKe Get your tickets now!  and don't miss out on the number 1 Movie this season! violadavis womanking shero warrior ",2022-09-29 04:00:14+00:00,2010-03-24 13:51:33+00:00
LiveLoveLifeDo,"Chicago, IL",215,331,7485,"    Unfortunately, I'm still salty and extremely disappointed at the disrespectful &amp; unfortunate portrayal of MichelleObama 😡I'll pass on seeing WomanKing",2022-09-29 03:46:35+00:00,2016-06-12 03:50:15+00:00
Ezilidanto,New York/Haiti,1731,5429,18600,Prof. James Small: 'The WomanKing  &amp; Real History of West African Kingdom of Dahomey (Pt 1) EndNeoColonialism EndUS_EU_Imperialism StopWarProfiteers Justice4All KnowYourHistory Not BoycottWomanKing or BlackPanther ProducingOurStoryEveryDay,2022-09-29 03:44:21+00:00,2009-01-19 21:16:37+00:00
Ezilidanto,New York/Haiti,1731,5429,18600,A FreeHaiti Sept 20 to Oct 2022 Desalin post:Prof James Small on the WomanKing  &amp; Black history EndNeoColonialism EndUS_EU_Imperialism StopWarProfiteers Justice4All KnowYourHistory Not BoycottWomanKing or BlackPanther ProducingOurStoryEveryDay,2022-09-29 03:44:21+00:00,2009-01-19 21:16:37+00:00
CoryShilts,Gilead ,131,86,10053,   _Carter    Or it can have a political show called ChicagoCenter about a fictional  and her alderman it would be OneChicago meets the WestWing showing the inner workings of city hall  could play LoriLightFoot they are only 3 years apart. WomanKing ,2022-09-29 03:22:27+00:00,2019-08-17 05:00:51+00:00
MC_Love17,Cameroon,445,283,4495,"Last night in Fayetteville, Arkansas. DeThe storyline and the actors of The Woman King are simply amazing. Peak moment to me is when Nanisca and her daughter, Nawi, joined forces to fight. womankingmovie WomanKing  ",2022-09-29 03:20:41+00:00,2019-04-15 22:42:28+00:00
dcarterR,Jamaica,736,230,18992,WomanKing was epic.. sigh.. was soooo good,2022-09-29 03:10:00+00:00,2011-03-01 07:14:40+00:00
YaaDMoBMusic,Ocho Rios Jamaica,1746,1081,14607,cant wait to watch WomanKing with my daughter.,2022-09-29 03:04:04+00:00,2013-09-13 17:40:10+00:00
XJenbunny,,140,144,21443,Okayyy sooo WomanKing was 🔥🔥,2022-09-29 03:02:09+00:00,2021-04-01 09:38:41+00:00
CharmXCarm,"Austin, TX",57,7,9,Finally saw the WomanKing and all I have to say is there’s about to be a whole lot of Nanisca’s walking around this Halloween.  and those women killed it!,2022-09-29 02:51:01+00:00,2022-01-22 03:11:49+00:00
MickaelleXBizet,"Los Angeles, CA",238,118,3975,Still haven’t gotten a chance to see   😩😩I’m about to take a day off work just to go because period!! WomanKing womankingmovie ,2022-09-29 02:42:36+00:00,2018-07-01 03:54:56+00:00
asian876,Mars ,660,1140,255145,Must watch womankingexcellent movie ,2022-09-29 02:42:09+00:00,2009-05-27 17:04:32+00:00
she_rapz,I.G Mila Hearse,436,563,16674,WomanKing was a great movie 🔥,2022-09-29 02:25:56+00:00,2010-01-19 03:48:39+00:00
_key2yourheart,"Los Angeles, CA ",626,548,40216,Finally saw WomanKing...it was excellent!,2022-09-29 01:59:53+00:00,2009-04-21 18:02:12+00:00
marciaforbes,Jamaica,1879,21939,74864,"WomanKing does not have the razz ma tazz special effects of Wakanda but it does have an interesting story line and some good acting. ViolaDavis was strong, as too some of the women warriors. Worth watching 👍🏽 ",2022-09-29 01:40:27+00:00,2009-09-07 13:10:55+00:00
hoopdreamsbball,"Portland, Oregon",1392,6892,43524, We needs ALL of  there’s next Tuesday player!! Women WomanKing AVAX NFTs Web3 ,2022-09-29 01:29:07+00:00,2009-05-27 00:49:25+00:00
MsNadaNee,New Orleans ;La to Atlanta; Ga,433,240,46904,I wanna watch WomanKing...,2022-09-29 01:08:58+00:00,2012-10-01 05:46:58+00:00
ThatHuedGuy,"Indianapolis, IN",46,8,597,The WomanKing Perfection. Beautiful characters inside and out. Loving this movie.,2022-09-29 00:59:02+00:00,2021-03-08 03:09:08+00:00
evie_mk,Randburg,1434,937,4867,Woman king is life♥️♥️♥️♥️♥️ Womanking   ..... ,2022-09-29 00:50:38+00:00,2011-09-14 14:54:59+00:00
crowned_mane,609 ,1132,1213,49542,WomanKing  was 10/10 WOW😍 it’s literally nothing a woman can’t do.,2022-09-29 00:43:24+00:00,2010-01-15 23:44:32+00:00
iamixmael,Nowhere Near You,1389,7033,6475,“Breonna”- WomanKing This masterpiece had me sobbing,2022-09-29 00:39:10+00:00,2020-08-27 03:55:26+00:00
dmv_realtor1906,DMV,686,935,62813,Movie was so fuckin good! WomanKing TheWomanKing,2022-09-28 23:53:07+00:00,2009-04-05 15:43:42+00:00
sweet_dove9,"Atlanta, GA",609,694,36998,Excited to see WomanKing anything Viola is a win.,2022-09-28 23:49:27+00:00,2009-07-07 05:00:03+00:00
cdreimer,Silicon Valley,1533,991,5638,What The Woman King Boycotters Got WrongTheWomanKing WomanKing BoycottWomanKing ViolaDavis JohnBoyega ThusoMbedu BeninRepublic Dahomey BoxOffice ClosedCaption YouTube ,2022-09-28 23:49:18+00:00,2008-03-31 05:15:20+00:00
ManifestwMercy,"Maryland, USA",4312,867,2145,"🚨RN: WomanKingboycott? Does web3 need roadmap? Walmart &amp; Apple make nft moves, security and more! Join the fam &amp;  for ONPOINT. Tap innnnnnn 👂🏾",2022-09-28 23:17:03+00:00,2015-07-20 18:57:32+00:00
womenatliberty,"DC, MD & VA",2546,879,21844,Yes!! 🙌🏾 WomanKing is a must-see.“″‘The Woman King’ is another great xample of original content connecting with and inspiring moviegoers on its course for a lengthy box office run that could be capped by award season nominations in the months ahead…”,2022-09-28 23:09:32+00:00,2011-02-24 19:08:01+00:00
